player_id,player_name,quarter,score
717,Arvydas Sabonis,1,2
948,Marcus Camby,1,2
369,Charlie Ward,1,3
431,Shawn Kemp,1,2
369,Charlie Ward,1,3
84,Latrell Sprewell,1,3
1899,James Posey,1,4
708,Kevin Garnett,1,2
708,Kevin Garnett,1,1
708,Kevin Garnett,1,1
89,Nick Van Exel,1,2
702,Voshon Lenard,1,2
210,Terrell Brandon,1,2
1073,Reggie Slater,1,1
708,Kevin Garnett,1,0
417,Sam Mitchell,1,2
210,Terrell Brandon,1,2
686,Antonio McDyess,1,2
111,LaPhonso Ellis,1,2
111,LaPhonso Ellis,1,2
1497,Chauncey Billups,1,2
281,Scott Williams,1,0
1711,Raef LaFrentz,1,1
951,Ray Allen,1,1
951,Ray Allen,1,1
1899,James Posey,1,1
1899,James Posey,1,1
1899,James Posey,1,3
951,Ray Allen,1,2
686,Antonio McDyess,1,2
951,Ray Allen,1,2
89,Nick Van Exel,1,1
208,Sam Cassell,1,2
208,Sam Cassell,1,0
1885,Lamar Odom,1,0
1718,Paul Pierce,1,1
1718,Paul Pierce,1,1
952,Antoine Walker,1,2
952,Antoine Walker,1,2
2047,Quentin Richardson,1,2
2047,Quentin Richardson,1,2
179,Bryant Stith,1,3
179,Bryant Stith,1,3
1709,Michael Olowokandi,1,2
2047,Quentin Richardson,1,1
2047,Quentin Richardson,1,1
1718,Paul Pierce,1,3
2032,Darius Miles,1,2
1718,Paul Pierce,1,2
952,Antoine Walker,1,2
441,Lamond Murray,1,0
739,Rasheed Wallace,1,2
757,Damon Stoudamire,1,3
757,Damon Stoudamire,1,1
441,Lamond Murray,1,2
1714,Robert Traylor,1,2
1719,Bonzi Wells,1,2
441,Lamond Murray,1,2
717,Arvydas Sabonis,1,1
717,Arvydas Sabonis,1,1
1714,Robert Traylor,1,1
1714,Robert Traylor,1,1
717,Arvydas Sabonis,1,2
717,Arvydas Sabonis,1,2
89,Nick Van Exel,1,4
1711,Raef LaFrentz,1,2
1503,Tracy McGrady,1,2
686,Antonio McDyess,1,2
1711,Raef LaFrentz,1,2
448,Bo Outlaw,1,2
1899,James Posey,1,2
448,Bo Outlaw,1,2
1503,Tracy McGrady,1,2
1503,Tracy McGrady,1,2
1503,Tracy McGrady,1,2
947,Allen Iverson,1,4
1548,Mark Blount,1,2
248,George Lynch,1,2
87,Dikembe Mutombo,1,2
947,Allen Iverson,1,2
947,Allen Iverson,1,2
238,Tyrone Hill,1,9
238,Tyrone Hill,1,1
1709,Michael Olowokandi,1,2
15,Eric Piatkowski,1,2
238,Tyrone Hill,1,2
947,Allen Iverson,1,2
1737,Nazr Mohammed,1,1
15,Eric Piatkowski,1,3
947,Allen Iverson,1,2
1737,Nazr Mohammed,1,2
947,Allen Iverson,1,2
2032,Darius Miles,1,2
238,Tyrone Hill,1,1
238,Tyrone Hill,1,1
947,Allen Iverson,1,2
947,Allen Iverson,1,2
947,Allen Iverson,1,1
446,Lucious Harris,1,2
271,Johnny Newman,1,2
1496,Keith Van Horn,1,2
1541,Alvin Williams,1,2
213,Antonio Davis,1,1
213,Antonio Davis,1,2
1425,Aaron Williams,1,2
1713,Vince Carter,1,2
271,Johnny Newman,1,2
891,Charles Oakley,1,2
1713,Vince Carter,1,3
2036,Chris Mihm,1,2
213,Antonio Davis,1,2
2036,Chris Mihm,1,2
2036,Chris Mihm,1,1
1541,Alvin Williams,1,2
1713,Vince Carter,1,2
2050,Morris Peterson,1,1
754,Jim Jackson,1,2
1713,Vince Carter,1,1
221,Clar. Weatherspoon,1,2
1541,Alvin Williams,1,2
708,Kevin Garnett,1,2
210,Terrell Brandon,1,2
236,Kevin Edwards,1,2
708,Kevin Garnett,1,2
1710,Mike Bibby,1,2
210,Terrell Brandon,1,2
1725,Rasho Nesterovic,1,1
949,Shareef Abdur-Rahim,1,1
949,Shareef Abdur-Rahim,1,1
1710,Mike Bibby,1,2
949,Shareef Abdur-Rahim,1,0
764,David Robinson,1,0
998,Mark Pope,1,2
345,Terry Porter,1,2
299,Glenn Robinson,1,2
764,David Robinson,1,2
208,Sam Cassell,1,3
299,Glenn Robinson,1,2
397,Reggie Miller,1,1
711,Jerry Stackhouse,1,3
1733,Al Harrington,1,1
1733,Al Harrington,1,1
979,Jermaine O'Neal,1,2
397,Reggie Miller,1,2
440,Zan Tabak,1,2
693,Joe Smith,1,1
693,Joe Smith,1,1
147,Jalen Rose,1,2
711,Jerry Stackhouse,1,3
1733,Al Harrington,1,2
693,Joe Smith,1,1
979,Jermaine O'Neal,1,1
979,Jermaine O'Neal,1,1
1802,Brad Miller,1,2
1802,Brad Miller,1,1
2033,Marcus Fizer,1,2
696,Travis Best,1,2
1802,Brad Miller,1,2
64,Sam Perkins,1,2
1802,Brad Miller,1,2
1506,Austin Croshere,1,2
1506,Austin Croshere,1,1
1890,Shawn Marion,1,4
361,Clifford Robinson,1,1
193,Anthony Mason,1,2
258,Brian Grant,1,2
258,Brian Grant,1,0
53,Mario Elie,1,1
193,Anthony Mason,1,2
1890,Shawn Marion,1,2
1890,Shawn Marion,1,2
224,Eddie Jones,1,2
224,Eddie Jones,1,1
224,Eddie Jones,1,1
124,Vlade Divac,1,2
1751,Jahidi White,1,1
393,Rod Strickland,1,0
124,Vlade Divac,1,0
2045,Hedo Turkoglu,1,2
436,Juwan Howard,1,2
1732,Felipe Lopez,1,0
185,Chris Webber,1,0
1732,Felipe Lopez,1,0
185,Chris Webber,1,1
345,Terry Porter,1,6
937,Scottie Pippen,1,2
1507,Derek Anderson,1,1
1507,Derek Anderson,1,1
1507,Derek Anderson,1,2
937,Scottie Pippen,1,2
757,Damon Stoudamire,1,2
1719,Bonzi Wells,1,2
764,David Robinson,1,1
764,David Robinson,1,2
905,Dale Davis,1,2
958,Vitaly Potapenko,1,2
1891,Jason Terry,1,2
1891,Jason Terry,1,2
1728,Roshown McLeod,1,2
1718,Paul Pierce,1,2
1718,Paul Pierce,1,3
1718,Paul Pierce,1,2
1718,Paul Pierce,1,1
953,Lorenzen Wright,1,2
1074,Matt Maloney,1,3
2064,Khalid El-Amin,1,0
978,Peja Stojakovic,1,2
1882,Elton Brand,1,2
57,Doug Christie,1,2
978,Peja Stojakovic,1,2
1882,Elton Brand,1,2
1882,Elton Brand,1,1
185,Chris Webber,1,1
1897,Metta World Peace,1,2
185,Chris Webber,1,2
1882,Elton Brand,1,2
87,Dikembe Mutombo,1,0
2036,Chris Mihm,1,2
87,Dikembe Mutombo,1,1
2036,Chris Mihm,1,2
238,Tyrone Hill,1,2
87,Dikembe Mutombo,1,0
87,Dikembe Mutombo,1,2
1723,Matt Harpring,1,2
221,Clar. Weatherspoon,1,0
87,Dikembe Mutombo,1,1
221,Clar. Weatherspoon,1,1
87,Dikembe Mutombo,1,0
1897,Metta World Peace,1,5
1716,Larry Hughes,1,2
1802,Brad Miller,1,2
